geo_cluster,n_stops,n_station_ids_tras_paso2,n_agencias,agencias,nombres
582,4,3,2,"['CC', 'RTP']","['Anillo Periférico Blvd. Adolfo Ruiz Cortines - Kioto', 'Anillo Periférico Blvd. Adolfo Ruiz Cortines - San Buenaventura', 'Periférico - ESCA']"
580,4,4,2,"['CC', 'RTP']","['Anillo Periférico Blvd. Adolfo Ruiz Cortines - Glorieta de Vaqueritos', 'Periférico - Vaqueritos', 'Periférico - Vaqueritos 2', 'Plaza Vaqueritos y San Lorenzo']"
438,4,2,2,"['CC', 'RTP']","['Kilometro 14', 'Kilométro 14', 'Paseo de Lilas - Bosque Alisos', 'Paseo de las Lilas - Bosque de Alisos']"
473,4,3,2,"['CC', 'RTP']","['Lago Caneguin - Lago Cardiel', 'Lago Caneguín - Lago Cardiel', 'Lago Caneguín - Lago Viedma', 'Lago Caneguín - Lago de Buenos Aires']"
523,4,4,2,"['CC', 'RTP']","['Acueducto - Camino viejo a Santiago', 'Acueducto - Cerezos', 'Acueducto - Cuauhtémoc', 'Acueducto - Frente a CETIS No. 49']"
520,4,3,2,"['CC', 'RTP']","['Antiguo Camino a Xochimilco - Rio Titla', 'Carretera San Pablo Xochimilco - Unidad Habitacional Rinconada San Pablo', 'Santiago Tepalcatlalpan - Río Titla']"
577,4,4,2,"['CC', 'RTP']","['Anillo Periférico Canal de Garay - Sauzales', 'Blvd. Adolfo Ruíz Cortines 2', 'Periférico - Sauzales', 'Sobre Blvd. Adolfo Ruíz Cortines y Av. Sauzales']"
575,4,4,2,"['CC', 'RTP']","['Anillo Periférico Canal de Garay - Deportivo Xochimilco', 'Anillo Periférico Canal de Garay - Parque Ecológico Xochimilco I', 'Periférico - Parque Ecológico', 'Periférico -Parque Ecológico']"
572,4,4,2,"['CC', 'RTP']","['Barza', 'Calle Canario', 'Canario', 'Canario - 11 de Abril']"
569,4,3,2,"['CC', 'RTP']","['Autopista México-Cuernavac y Camino a Xicalco', 'Autopista México-Cuernavaca - Camino Real a Xicalco', 'Carretera México-Cuernavaca - Puente Xicalco', 'Cuernavaca 60']"
117,4,2,2,"['CC', 'MB']","['Eje 4 Norte Av. Talismán - Eje 3 Oriente Av. Ing. Eduardo Molina', 'Talisman']"
116,4,3,2,"['CC', 'MB']","['Av. Victoria Ote. y Eduardo Molina', 'Av. Victoria Ote. y Eje 3 Ote. Ing.  Eduardo Molina', 'Victoria']"
1221,4,3,2,"['CC', 'RTP']","['Av. del Trabajo - Panaderos', 'Av. del Trabajo - Rivero', 'Av. del Trabajo y Rivero', 'Eje 1 Ote. Boleo y Rivero']"
1211,4,3,2,"['CC', 'TROLE']","['Andrés Molina Enríquez', 'Andrés Molina y Playa Roqueta', 'Playa Miramar']"
1201,4,4,2,"['CC', 'RTP']","['Congreso de la Unión y Henry Ford', 'Eje 2 Ote. H Congreso de la Unión y Av. Henry Ford', 'Henry Ford', 'Honorable Congreso de la Unión - Henry Ford']"
1175,4,3,2,"['CC', 'RTP']","['Escuela Naval M. y Paseo de la Hacienda', 'Escuela Naval M. y San alfredo', 'Escuela Naval Militar - Callejón San Alfredo', 'Escuela Naval Militar - Paseo de la Hacienda']"
2835,4,2,2,"['CC', 'TROLE']","['Av. Tláhuac - De los Pirules', 'Av. Tláhuac - Los Pirules', 'Emiliano Zapata']"
2834,4,2,2,"['CC', 'TROLE']","['Av. Santa Ana - Av. Tláhuac', 'Luis Galvani']"
2832,4,3,2,"['CC', 'TROLE']","['Av. Tláhuac - Presidencia', 'Gobernación', 'Jacobo Watt - Av. Tláhuac']"
2665,4,4,2,"['CBB', 'RTP']","['Colegio de Arquitectos', 'Estado Mayor Presidencial', 'Ignacio Zaragoza', 'PARCUR/Colegio de Arquitectos']"
2830,4,2,2,"['CC', 'TROLE']","['Eje 9 Sur Calz. Taxqueña - Av. Miguel Hidalgo', 'Miguel Hidalgo']"
2747,4,3,2,"['CBB', 'RTP']","['Joaquin Pardave', 'La Pastora', 'Luis Echeverria']"
2842,3,2,2,"['CC', 'TROLE']","['Av. 11', 'Av. Tláhuac - Av. 11']"
23,3,3,2,"['RTP', 'TROLE']","['Calz. Ermita Iztapalapa - Pozos', 'Calz. Ermita Iztapalapa - Tinacos', 'Papalotl']"
